,Metropolitan area,Population,NFL,MLB,NBA,NHL
0,New York City,20153634,GiantsJets,YankeesMets,KnicksNets,RangersIslandersDevils
1,Los Angeles,13310447,RamsChargers,DodgersAngels,LakersClippers,KingsDucks
2,San Francisco Bay Area,6657982,49ersRaiders,GiantsAthletics,Warriors,Sharks
3,Chicago,9512999,Bears,CubsWhite Sox,Bulls,Blackhawks
4,Dallas–Fort Worth,7233323,Cowboys,Rangers,Mavericks,Stars
5,"Washington, D.C.",6131977,Redskins,Nationals,Wizards,Capitals
6,Philadelphia,6070500,Eagles,Phillies,76ers,Flyers
7,Boston,4794447,Patriots,Red Sox,Celtics,Bruins
8,Minneapolis–Saint Paul,3551036,Vikings,Twins,Timberwolves,Wild
9,Denver,2853077,Broncos,Rockies,Nuggets,Avalanche
10,Miami–Fort Lauderdale,6066387,Dolphins,Marlins,Heat,Panthers
11,Phoenix,4661537,Cardinals,Diamondbacks,Suns,Coyotes
12,Detroit,4297617,Lions,Tigers,Pistons,Red Wings
13,Toronto,5928040,,Blue Jays,Raptors,Maple Leafs
14,Houston,6772470,Texans,Astros,Rockets,
15,Atlanta,5789700,Falcons,Braves,Hawks,
16,Tampa Bay Area,3032171,Buccaneers,Rays,,Lightning
17,Pittsburgh,2342299,Steelers,Pirates,,Penguins
18,Cleveland,2055612,Browns,Indians,Cavaliers,
19,Seattle,3798902,Seahawks,Mariners,,
20,Cincinnati,2165139,Bengals,Reds,,
21,Kansas City,2104509,Chiefs,Royals,,
22,St. Louis,2807002,,Cardinals,,Blues
23,Baltimore,2798886,Ravens,Orioles,,
24,Charlotte,2474314,Panthers,,Hornets,
25,Indianapolis,2004230,Colts,,Pacers,
26,Nashville,1865298,Titans,,,Predators
27,Milwaukee,1572482,,Brewers,Bucks,
28,New Orleans,1268883,Saints,,Pelicans,
29,Buffalo,1132804,Bills,,,Sabres
30,Montreal,4098927,,,,Canadiens
31,Vancouver,2463431,,,,Canucks
32,Orlando,2441257,,,Magic,
33,Portland,2424955,,,Trail Blazers,
34,Columbus,2041520,,,,Blue Jackets
35,Calgary,1392609,,,,Flames
36,Ottawa,1323783,,,,Senators
37,Edmonton,1321426,,,,Oilers
38,Salt Lake City,1186187,,,Jazz,
39,Winnipeg,778489,,,,Jets
40,San Diego,3317749,,Padres,,
41,San Antonio,2429609,,,Spurs,
42,Sacramento,2296418,,,Kings,
43,Las Vegas,2155664,,,,Golden Knights
44,Jacksonville,1478212,Jaguars,,,
45,Oklahoma City,1373211,,,Thunder,
46,Memphis,1342842,,,Grizzlies,
47,Raleigh,1302946,,,,Hurricanes
48,Green Bay,318236,Packers,,,
49,Hamilton,747545,,,,
50,Regina,236481,,,,
