administration_code,hour,population20210701,population20210702,population20210703,population20210704,population20210705,population20210706,population20210707,population20210708,population20210709,population20210710,population20210711,population20210712,population20210713,population20210714,population20210715,population20210716,population20210717,population20210718,population20210719,population20210720,population20210721,population20210722,population20210723,population20210724,population20210725,population20210726,population20210727,population20210728,population20210729,population20210730,population20210731,population20210801,population20210802,population20210803,population20210804,population20210805,population20210806,population20210807,population20210808,population20210809,population20210810,population20210811,population20210812,population20210813,population20210814,population20210815,population20210816,population20210817,population20210818,population20210819,population20210820,population20210821,population20210822,population20210823,population20210824,population20210825,population20210826,population20210827,population20210828,population20210829,population20210830,population20210831,population20210901,population20210902,population20210903,population20210904,population20210905,population20210906,population20210907,population20210908,population20210909,population20210910,population20210911,population20210912,population20210913,population20210914,population20210915,population20210916,population20210917,population20210918,population20210919,population20210920,population20210921,population20210922,population20210923,population20210924,population20210925,population20210926,population20210927,population20210928,population20210929,population20210930,mean2021
Dobong-gu,dawn,5837.503236061128,5840.551017446732,5856.466192122777,5876.077356797767,5871.96915288206,5846.721760713229,5878.785560120731,6050.02908601036,5880.650099540707,5883.407013269182,5900.064421622281,5912.325194783844,5897.925649151663,5877.0584093848565,6002.701333617854,6137.037852268271,6215.753509003309,6241.668342179424,6225.995807017921,6197.092030326777,6233.5031783858485,6194.220712059071,6104.734335846416,6225.5605616930125,6118.373249660088,6245.477868092024,6054.498244687956,6127.49359025314,6137.298500206732,6192.586739183779,6195.50325001952,6020.0663696034935,6152.796496520608,6179.485248245284,6263.7397145107425,6177.228449814114,6177.768807016717,6034.216225569084,6145.451125865454,6256.94081449352,6185.392481617688,6229.008190914037,6194.691622910918,6186.175033551604,6133.3325957224,6162.411002322716,6114.454888182244,6125.353121067773,6191.497141889594,6157.950995859733,6183.430079852748,6126.537668019529,6234.180913599736,6217.623470586826,6220.807099626616,6075.121689637254,6057.065908207632,6076.196364861347,6204.24395735835,6038.279919636258,6124.398535027652,6095.714931864463,6096.0258226958285,6124.323193532081,6045.130142499206,6128.397643490196,6058.944044099305,6091.356172441825,6053.581394602966,6131.797943410112,6098.161906146506,6100.186446451371,6060.687497821023,6041.699265306988,6026.565334036194,6078.591747857945,6031.23824201862,5984.5510602022505,5940.150701165722,5937.227743824034,5856.628443903487,5764.984782107665,5963.994895431745,6003.212564791722,5972.5086015586,5966.279722984908,6312.110825954007,6369.487283488645,6333.749040878791,6329.881766558251,6183.436765458241,6110.496609204618,6089.086757850951
Dobong-gu,daytime,5005.348902647321,4998.236287597185,5486.741716552079,5714.378895261919,5019.61823752878,4982.03594326521,5046.988689301626,5142.839330950581,5109.335367237561,5519.677325140907,5755.629414910542,5116.831143036598,5128.496417551031,5105.24642678295,5189.868832379751,5341.308200560695,5828.893688049805,6066.237145893513,5383.370171174979,5389.4175983692285,5344.216388692337,5395.177823467922,5337.704766827439,5824.671936765053,5948.539767390586,5399.628572539756,5356.486916012135,5378.602148892597,5337.874652413964,5374.039857170934,5794.500155725025,5809.286395437513,5371.276781470754,5364.625280670732,5409.633507694003,5388.521590666876,5360.1098791564345,5687.328403346541,5955.281772221801,5358.3191307294455,5368.968600747106,5287.061264367048,5328.738876513128,5365.327813826895,5676.178274965345,5853.453442782498,5770.952511190238,5379.279061082936,5344.450263884121,5330.81791194277,5425.144569176548,5825.275867416602,5971.605052665689,5359.043664741479,5393.061628687526,5267.071297478716,5295.741639822194,5283.262954959057,5718.2113434081775,5808.421043494228,5239.678994399542,5269.968093418212,5263.034295769729,5254.609828086324,5267.863860873309,5590.838825181314,5828.596687549409,5240.025089744183,5237.030037651264,5238.572463381594,5217.912405513411,5268.763567716216,5548.322962995418,5756.781118018976,5240.34224713858,5238.716045722879,5192.028716528767,5207.80368193486,5225.2210942959555,5581.216938364728,5585.2567654924305,5684.979389767415,5956.324293507293,5799.513785140967,5211.751958380074,5221.668604780985,5771.044033400245,5948.8345182693165,5364.773673309004,5162.639998312226,5257.326405412695,5136.5201731516645,5430.286446715711
Dobong-gu,night,5588.508647406807,5521.981652312032,5774.963439261634,5861.5092656876295,5656.447850119085,5610.828512619199,5639.732669982474,5695.838811686254,5630.327852867315,5749.950743601046,5900.458774495484,5719.326575293918,5750.126977377716,5706.051634642832,5811.733570254733,5935.318337309178,6048.96085900511,6212.471956081047,5975.935583826514,6002.2284407790075,6033.6585474622425,6047.81305255963,5936.204604898556,6086.667373719659,6158.619956931288,5950.996556226824,5957.551741242669,5971.30511942044,5950.933457702494,5957.28489732083,6040.854644767535,5992.05786649363,6045.120423972364,6054.550612313795,6067.801492475578,5964.779344296755,5922.186192742655,5882.728333046274,6201.851506602822,6052.3103770405705,6048.15991446954,6018.627975557022,5965.31615811283,5901.264563527815,5976.557514503124,6040.812455872707,6079.23980854176,6035.478021830667,5975.977512693439,6026.90242350318,5989.378316970309,6034.605170014515,6163.964837346569,6046.8861615725555,5952.267993733678,5867.659414057116,5842.29836492246,5869.958109270797,5960.438105697197,6061.713236184677,5969.418515432412,5914.445158352611,5868.015121322916,5891.777927039891,5807.007289371346,5921.951379986333,6089.344046803613,5882.830151723926,5919.495026151508,5839.93759821064,5827.756332741094,5843.963866474909,5888.587873238799,5986.170803245239,5847.129026189588,5834.354031285704,5773.403514406161,5768.800616599138,5760.057503132234,5750.9982319418605,5712.232774492936,5877.744202066759,5942.7061019456005,5956.113518808285,5776.337714668444,5895.840332530755,6095.636847340551,6088.953152420995,6033.187688357114,5820.443822325591,5844.799854705257,5750.408814959852,5914.188403831518
Dongdaemun-gu,dawn,7213.2010116197425,7172.009135293832,7106.533279758732,7041.237747315653,7171.887386445643,7194.784898099641,7197.243252103916,7130.0992154544365,7212.972915676603,7201.632880768832,6994.108159523409,7170.644561890767,7172.76188053845,7172.738068771711,7260.616206847581,7307.649336860095,7260.589117291614,7066.338629819061,7379.806607552897,7395.296991887007,7477.2299542554265,7374.536014430867,7322.369035938592,7285.77993588287,7121.451875485437,7417.924125054145,7377.154784534693,7363.960198843491,7307.871924074909,7390.873403019733,7213.489715898286,7006.385216093425,7278.120638709197,7296.831704330927,7385.410707833496,7372.4075824810625,7335.679130426793,7098.451809131911,7032.341820952141,7323.999586152206,7451.359399738913,7499.752674508278,7443.262977079381,7464.993994059673,7279.536577259532,7107.405280841603,7150.453589596685,7418.958964041554,7472.993785794373,7420.3489050928965,7436.201617573828,7362.635490656812,7299.367486079274,7443.554525010449,7382.649126815693,7340.956965367246,7342.196534338889,7319.7286356450295,7177.901116186315,7170.8219008003325,7415.442639554311,7440.790535307861,7538.374879604225,7429.45660387119,7436.165779240949,7355.805948400004,7213.474817181191,7390.06843597964,7411.489142763429,7477.426047757737,7452.004349348828,7517.390615779561,7376.67420795228,7248.431193949147,7406.475634836207,7422.922466871998,7396.406608512233,7364.878019340475,7239.654969091112,7031.4971625544185,6675.942649653194,6410.574267043225,6442.249291605236,6708.656881595172,7077.636484827,7169.317491974084,7417.125130848343,7364.806048974329,7543.551058172993,7593.667080014525,7438.221947064696,7428.672614953133,7276.35598911042
Dongdaemun-gu,daytime,7050.724061921818,6993.158353779136,6909.350495666959,6913.1277325189,7072.842291604525,7052.079402410867,7043.568826770084,7072.4612428766695,7065.636075143363,7000.51418878539,6926.005109582474,7060.46389887087,7049.8947219652055,7034.311911543292,7119.468551675525,7149.563205505006,7062.37836904711,6910.891977744364,7287.0941050286765,7289.374989652333,7287.135218004464,7196.840043922922,7154.631675774723,7075.02611603636,6978.477022135472,7231.198118957054,7172.506420932261,7176.248888482915,7127.188643601294,7143.91427849319,6952.172445154152,6919.189177114553,7093.104262756276,7101.018077084271,7161.002855751411,7147.168289710734,7171.000983516607,6904.327191486414,6946.988893858211,7207.090930811147,7254.672014027692,7273.598743976053,7264.358129598086,7284.793716452599,6994.96246982981,6824.37620972412,7239.953828122931,7355.968783007363,7405.316171968247,7366.60460126847,7353.927633787514,7221.164194228384,7138.9826965154,7376.08472098225,7319.889968884893,7247.4538708663595,7218.400506432572,7249.716828055459,7018.576411871432,7002.1051376690475,7290.093250641784,7360.941763430923,7422.767623699759,7404.678084666131,7314.245056486291,7101.541875109632,7048.628991982721,7444.866790061412,7429.414829537004,7439.509602119842,7436.4217601445325,7384.260295262358,7138.300163964012,7068.399177015456,7438.744543285408,7398.415031974631,7387.274850274573,7350.49319712334,7200.362040303327,6800.2770237479235,6373.074062860393,6231.329542030895,6384.25257762675,6570.6062576605555,7046.598442399691,7111.913040181879,7099.847094188686,7049.736891555024,7437.389561427472,7298.615652768467,7349.854025060649,7285.828001035679,7138.247030245357
Dongdaemun-gu,night,6999.579256712828,6882.236344741451,6901.128945530614,6997.908905130297,7023.215654054461,7016.130977021706,7020.294630461623,7034.068381088034,7007.260820948735,6897.9487996323605,7014.798175672473,7062.746035698151,7040.685544066609,7024.144027513696,7118.169310297306,7049.752236834367,6980.465806754793,7090.530116976034,7306.660138994883,7230.948233230785,7297.959282109146,7197.326460078202,7149.289971548168,7056.121453497007,7135.965394990317,7281.169168127186,7235.435539077962,7202.973222740308,7153.678507586234,7108.485101595947,6857.921318658065,7033.473624968403,7184.459832694061,7180.4441641957355,7241.560638307125,7137.003911638787,7084.758236112487,6853.520137083607,7142.415380846821,7155.414176103697,7240.074641227647,7261.943652493005,7255.489742003671,7186.034821761414,6933.165676842723,6952.142702794662,7267.159505917418,7290.164377054101,7322.98884702509,7246.890717033895,7281.805278543132,7148.139667101039,7159.206365487865,7360.99936343437,7231.795869993561,7209.001311396601,7198.416117359649,7158.892851366491,6936.770405760923,7102.572245874456,7201.548642448288,7262.34106656927,7301.555033262476,7277.640543326219,7169.783402105872,6997.51937454049,7166.8075293784705,7318.365329929328,7332.165280876136,7288.525450168304,7310.990267211158,7220.07735504926,7025.8222718719435,7161.805380818764,7271.387683123807,7265.693474788317,7194.011416839449,7109.943446469901,6925.343452431614,6581.59270026853,6273.054928737749,6297.341697194845,6475.5338225894175,6835.610351086728,7010.254273157288,7138.3305869203405,7108.23098765225,7263.697433930409,7365.803147603527,7231.563988262679,7292.0062519301555,7181.430457324342,7108.559554909344
Dongjak-gu,dawn,7800.248580211976,7800.051749677646,7686.325556810059,7605.001677566839,7802.014214878635,7816.951743596708,7822.438629398202,7832.600445907185,7828.084534786694,7714.669981526889,7580.712017642129,7816.64655582132,7826.953229945026,7831.4886819871535,7887.200636748305,8062.824915005763,7980.473758917626,7711.270255195412,8079.6102007697245,8153.872335906042,8145.887684228385,8049.046751471039,8108.17096159913,7948.470723206891,7860.7247309526065,8104.139152666843,7928.86521250556,8092.086016580333,8125.585833936867,8076.693828718153,7852.992437836229,7741.578797048686,8052.888063357635,7985.033365698097,8071.405138782647,8046.841902495785,8021.8362721417725,7762.214308084395,7780.968142540935,8095.558993586901,8105.335793634592,8140.635124996949,8102.305096751466,8080.073253602368,7972.490904019422,7626.583964203969,7893.7477982371,8167.885994904034,8185.9903389826695,8156.4668005922385,8114.288183645159,8064.245561689646,7961.951537059302,8128.007518549667,8010.22201756283,8072.334473521226,8034.816395907477,7985.0505699146515,7918.589501234825,7783.182428986725,8007.909084494107,8023.165853226812,8034.106718742861,8002.000012603454,8016.627668503698,7907.934418917384,7835.863396798036,8058.685513595464,8014.923604409982,8094.610561465322,8043.024665079808,8011.931212211225,7913.941489811835,7803.606276285475,7983.491323020267,7954.231578329504,7944.550323432288,7934.142148238815,7873.035443334363,7630.904787018304,7192.281561163714,6901.338138969542,6854.398755103486,7235.751921549811,7712.588036100485,7777.157189848465,7960.4510767002575,7834.865415274673,7986.704130131499,8002.154133683395,8045.563735581346,8039.269021830196,7908.976526882504
Dongjak-gu,daytime,6669.528754528764,6696.658314305521,7064.353565437708,7232.109148212346,6717.764131605556,6701.31959243181,6790.040191688651,6776.220501641129,6792.722471305494,7115.649178808428,7221.678695565845,6824.592063311988,6868.977506720537,6855.4952408548315,6884.490596333597,7023.96184998108,7336.4691617642975,7305.578937783826,7100.151120078295,7137.6718456360795,7151.845954474321,7047.059386745415,7144.911907249108,7343.0344243921245,7424.821153629848,7088.809879314488,7053.79041249873,7098.85493177203,7104.355335922722,7025.090849481911,7244.889102455254,7343.171410928308,6971.896836020425,6988.132351064606,7135.454698379472,6988.270935185919,7037.8075522309955,7255.3456436754805,7415.843080138142,7089.571111073602,7046.089627696113,7157.669532976813,7016.723152387466,7049.512597564604,7183.729143166433,7030.986091065791,7413.564832382625,7133.715253683898,7150.2574642502905,7045.538852883765,7086.542729933789,7511.970087801149,7461.849840897165,7049.977695291468,7050.559168142642,6988.980404708576,6923.698297004915,6958.749830544739,7218.618756312623,7354.590250130779,6941.876090926851,7003.042570506863,7010.281101721013,6959.835099842897,6971.558050716745,7213.583448915837,7299.750622835712,6999.017760417308,7069.311115107776,6972.10110192511,6924.572003710128,6995.675530663324,7221.1829942296845,7332.562319942556,7004.495660884551,6958.221676994924,6916.644108549874,6871.94648747659,6917.119097226853,6889.834793664606,6514.688115719885,6459.032890281262,6674.54149982328,6923.133810830868,6691.6108661921435,6808.596786181166,7254.619447308634,7367.427615109488,6882.611884199875,6843.73831857639,7039.721607123803,6962.547342683249,7041.267339714603
Dongjak-gu,night,7417.7929627961075,7351.496385463471,7357.464080722789,7570.853614694686,7485.772403197528,7489.333994343449,7518.048180996376,7500.384263387313,7422.7302577505625,7301.855038779885,7560.806273451942,7548.80385788579,7556.3497543394915,7520.61284623348,7511.541924689443,7616.9631263324845,7550.0314412571015,7686.663810885966,7806.269907083207,7849.925924270261,7841.041751530824,7707.3593102071245,7733.700140078703,7591.606226143008,7783.56373570032,7696.196159600757,7760.461696975186,7780.9541164959255,7741.54700250901,7610.6614950356325,7423.923641749582,7700.31972600875,7697.028359578322,7705.61195840381,7786.058605473004,7703.45368611027,7686.854118966605,7439.174371177677,7861.857525278795,7800.416673064793,7807.280215107773,7874.644739663732,7755.237452146923,7606.075664163906,7397.817076177377,7410.471122508126,7838.668694572029,7795.471145870339,7859.565935306275,7717.436597457494,7752.776576974006,7700.804728156533,7805.598426007141,7791.548037681881,7730.762581131864,7649.421955483791,7605.895420241949,7540.42962696472,7440.007563629479,7684.7755178806265,7711.052334105906,7682.839031621539,7715.085072725546,7720.729325034957,7583.348942091168,7514.450178724413,7742.029952270976,7711.7228873555505,7759.110325913403,7689.626811204688,7681.376929676866,7630.752847462917,7524.333534731805,7725.956291542219,7666.136641759563,7679.334584419241,7628.250571080761,7552.867566289009,7392.4362039984635,6989.336683763914,6691.571365303029,6656.9176784106785,6871.352666796978,7388.604294394874,7452.341046698609,7549.23110995211,7540.868603472293,7728.160294539722,7656.496186909821,7603.866675446907,7651.740064613314,7649.957979660549,7599.805044649425
Eunpyeong-gu,dawn,7783.053109323238,7800.992888809252,7765.702570368951,7830.899090461262,7839.914354416244,7801.441960687992,7791.099760136166,7787.648035929776,7766.0006901075685,7746.5460855914835,7737.450467683291,7791.405560061486,7662.167767949413,7764.268706656072,7848.256651274516,8144.064220642029,7903.32774352886,7928.087580230464,8013.642821597167,8211.610346067848,8095.7454867405395,8204.742736731698,8134.90264349366,8055.8460385218095,8013.945061967901,8011.276635385131,7965.236180692545,8082.207996903817,8128.974869620992,7991.432903610256,8028.781348568606,7895.267410521752,7864.209220224126,7967.812798789158,8130.928527314809,8059.519500788162,8068.233613218012,7781.422465077539,7981.425530777162,8088.721864656334,8136.254998703059,8069.984599811256,8110.175392476517,8078.2726888811,8044.2951255398975,8014.52328106365,8148.071142336098,8215.072238295603,8174.470222983349,8169.135859547676,8191.903639326767,8285.31565842967,8265.161120044699,8227.934270493932,8134.211805926166,8108.474755505331,8029.92431384811,8024.5980398753345,8008.995903779566,7944.383063184541,8057.952354983354,8032.529674673363,8091.192186918193,8041.0662359260905,7998.561315351995,7997.10706681868,7944.52519578429,7984.385277430233,8073.918494822333,8014.324179080713,8034.342292045476,8002.780131257408,7954.770590438588,7994.015555274898,7975.1727513466,7865.784749062282,7861.116967211367,7858.492835965142,7755.390017811994,7721.664333142959,7425.666563212843,7255.7365897523005,7384.060358010474,7561.107925215859,7719.205985775847,7704.85093264368,8243.8629843922,8169.953836636414,8252.16896137018,8160.860170411004,7954.914670081219,7960.123716410074,7966.31495939606
